Average_End-To-End Throughput Average_Distance_Travelled Number_of_Delivered Number_of_Dropped_packets Number_of_Re-requested_packets Number_of_packets_Arrived_more_than_once Number_of_Nodes Measurement_Time Buffer_size Number_of_Packets_arrived_to_the_system Packet_Time_limit
2.0 0.01098901098901099 2.727272727272727 11 0 0 0 50 1001 10 8559 20

1.625 0.015984015984015984 2.875 16 0 0 0 50 1001 10 8658 20

2.3636363636363638 0.01098901098901099 3.6363636363636362 11 0 0 0 50 1001 10 8749 20

1.8181818181818181 0.01098901098901099 2.909090909090909 11 0 0 0 50 1001 10 8860 20

2.2 0.004995004995004995 3.0 5 0 0 0 50 1001 10 8960 20

1.9 0.00999000999000999 3.2 10 0 0 0 50 1001 10 9063 20

2.25 0.011988011988011988 3.25 12 0 0 0 50 1001 10 9166 20

1.8 0.00999000999000999 2.6 10 0 0 0 50 1001 10 9272 20

2.5 0.017982017982017984 3.9444444444444446 18 0 0 0 50 1001 10 9358 20

1.5 0.005994005994005994 2.0 6 0 0 0 50 1001 10 9471 20

3.25 0.007992007992007992 3.625 8 0 0 0 50 1001 10 9569 20

1.7142857142857142 0.006993006993006993 2.4285714285714284 7 0 0 0 50 1001 10 9667 20

1.8571428571428572 0.006993006993006993 2.142857142857143 7 0 0 0 50 1001 10 9765 20
