Average_End-To-End Throughput Average_Distance_Travelled Number_of_Delivered Number_of_Dropped_packets Number_of_Re-requested_packets Number_of_packets_Arrived_more_than_once Number_of_Nodes Measurement_Time Buffer_size Number_of_Packets_arrived_to_the_system Packet_Time_limit
1.5 0.005994005994005994 2.1666666666666665 6 0 0 0 50 1001 10 2666 20

3.0952380952380953 0.02097902097902098 3.8095238095238093 21 0 0 0 50 1001 10 2770 20

1.6 0.004995004995004995 2.4 5 0 0 0 50 1001 10 2868 20

1.7857142857142858 0.013986013986013986 2.2857142857142856 14 0 0 0 50 1001 10 2947 20

1.7142857142857142 0.013986013986013986 2.5 14 0 0 0 50 1001 10 3066 20

1.7272727272727273 0.01098901098901099 2.272727272727273 11 0 0 0 50 1001 10 3158 20

1.8333333333333333 0.011988011988011988 2.6666666666666665 12 0 0 0 50 1001 10 3269 20

1.6428571428571428 0.013986013986013986 2.357142857142857 14 0 0 0 50 1001 10 3356 20

1.8888888888888888 0.008991008991008992 3.0 9 0 0 0 50 1001 10 3464 20

2.0714285714285716 0.013986013986013986 3.0 14 0 0 0 50 1001 10 3552 20

2.4210526315789473 0.01898101898101898 2.6842105263157894 19 0 0 0 50 1001 10 3681 20

1.8888888888888888 0.008991008991008992 2.888888888888889 9 0 0 0 50 1001 10 3756 20

2.5294117647058822 0.016983016983016984 4.0588235294117645 17 0 0 0 50 1001 10 3867 20

2.6818181818181817 0.02197802197802198 3.227272727272727 22 0 0 0 50 1001 10 3973 20

2.1 0.00999000999000999 2.5 10 0 0 0 50 1001 10 4067 20

2.0 0.011988011988011988 3.0 12 0 0 0 50 1001 10 4171 20

2.0 0.012987012987012988 3.3076923076923075 13 0 0 0 50 1001 10 4271 20

2.125 0.007992007992007992 2.875 8 0 0 0 50 1001 10 4370 20

3.2222222222222223 0.017982017982017984 3.7222222222222223 18 0 0 0 50 1001 10 4474 20

2.05 0.01998001998001998 3.05 20 0 0 0 50 1001 10 4562 20

